Gyógyszer neve;Hatóanyag;ATC-kód;Forgalomba hozatali eng. jogosultja;Nyilvántartási szám;Kiszerelés;Kiadhatóság;KP besorolás;Státusz;Engedélyezés dátuma;Törlés dátuma;
TEKTROTYD 20 mikrogramm készlet radioaktív gyógyszerkészítményekhez;HYNIC-[D-Phe1,Tyr3-Octreotide] trifluoroacetate;V09IA07;Narodowe Centrum Badañ J¹drowych;OGYI-T-23052;1 X   - injekciós üvegben;I ;;TK;2016.06.24;..;
TELEBRIX GASTRO belsõleges oldat/végbéloldat;Meglumine ioxitalamate;V08AA05;Guerbet Roissy CDG;OGYI-T-01438;1 X 100 ml üvegben, 10 X 100 ml üvegben;I  ;;TK;1989.12.18;..;
TELEXER 110 mg kemény kapszula;dabigatran etexilate;B01AE07;Richter Gedeon Nyrt.;OGYI-T-24106;10 X   - buborékcsomagolásban, 10 X 1 - adagonként perforált buborékcsomagolásban, 180 X   - buborékcsomagolásban, 180 X 1 - adagonként perforált buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban;J ;;TK;2022.08.09;..;
TELEXER 150 mg kemény kapszula;dabigatran etexilate;B01AE07;Richter Gedeon Nyrt.;OGYI-T-24106;10 X   - buborékcsomagolásban, 10 X 1 - adagonként perforált buborékcsomagolásban, 180 X   - buborékcsomagolásban, 180 X 1 - adagonként perforált buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban;J ;;TK;2022.08.09;..;
TELFAST 120 mg filmtabletta;fexofenadine hydrochloride;R06AX26;Opella Healthcare Commercial Kft.;OGYI-T-06450;10 X   - buborékcsomagolásban, 10 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;VN ;;TK;1998.01.01;..;
TELFAST 180 mg filmtabletta;fexofenadine hydrochloride;R06AX26;Opella Healthcare Commercial Kft.;OGYI-T-06450;10 X   - buborékcsomagolásban, 10 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;VN ;;TK;1998.01.01;..;
Tellurium metallicum golyócskák (C  4);;;BOIRON;OGYI-HGAL-264C4;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Tellurium metallicum golyócskák (C  5);;;BOIRON;OGYI-HGAL-264C5;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Tellurium metallicum golyócskák (C  6);;;BOIRON;OGYI-HGAL-264C6;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Tellurium metallicum golyócskák (C  9);;;BOIRON;OGYI-HGAL-264C9;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Tellurium metallicum golyócskák (C 12);;;BOIRON;OGYI-HGAL-264C12;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Tellurium metallicum golyócskák (C 15);;;BOIRON;OGYI-HGAL-264C15;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Tellurium metallicum golyócskák (C 30);;;BOIRON;OGYI-HGAL-264C30;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Tellurium metallicum golyócskák (C200);;;BOIRON;OGYI-HGAL-264C200;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Telmisartan Actavis 20 mg tabletta;telmisartan;C09CA07;Actavis Group PTC ehf.;EU/1/10/639;100 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 250 X   - HDPE tartályban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - HDPE tartályban, 56 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;CTK;2010.09.30;..;
Telmisartan Actavis 40 mg tabletta;telmisartan;C09CA07;Actavis Group PTC ehf.;EU/1/10/639;100 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 250 X   - HDPE tartályban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - HDPE tartályban, 56 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;CTK;2010.09.30;..;
Telmisartan Actavis 80 mg tabletta;telmisartan;C09CA07;Actavis Group PTC ehf.;EU/1/10/639;100 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 250 X   - HDPE tartályban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - HDPE tartályban, 56 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;CTK;2010.09.30;..;
TELMISARTAN EGIS 20 mg filmtabletta;telmisartan;C09CA07;Egis Gyógyszergyár Zrt.;OGYI-T-22261;28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2012.08.22;..;
TELMISARTAN EGIS 40 mg filmtabletta;telmisartan;C09CA07;Egis Gyógyszergyár Zrt.;OGYI-T-22261;28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2012.08.22;..;
TELMISARTAN EGIS 80 mg filmtabletta;telmisartan;C09CA07;Egis Gyógyszergyár Zrt.;OGYI-T-22261;28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2012.08.22;..;
Telmisartan Teva 20 mg tabletta;telmisartan;C09CA07;Teva B.V.;EU/1/09/610;100 X 1 - adagonként perforált buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;V ;;CTT;2010.01.26;2021.05.21;
Telmisartan Teva 40 mg tabletta;telmisartan;C09CA07;Teva B.V.;EU/1/09/610;100 X 1 - adagonként perforált buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;V ;;CTT;2010.01.26;2021.05.21;
Telmisartan Teva 80 mg tabletta;telmisartan;C09CA07;Teva B.V.;EU/1/09/610;100 X 1 - adagonként perforált buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;V ;;CTT;2010.01.26;2021.05.21;
Telmisartan Teva Pharma 20 mg tabletta;telmisartan;C09CA07;Teva B.V.;EU/1/11/719;100 X 1 - adagonként perforált buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 28 X   - buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;V ;;CTK;2011.10.03;..;
Telmisartan Teva Pharma 40 mg tabletta;telmisartan;C09CA07;Teva B.V.;EU/1/11/719;100 X 1 - adagonként perforált buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 28 X   - buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;V ;;CTK;2011.10.03;..;
Telmisartan Teva Pharma 80 mg tabletta;telmisartan;C09CA07;Teva B.V.;EU/1/11/719;100 X 1 - adagonként perforált buborékcsomagolásban, 100 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 28 X   - buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 30 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 40 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 90 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;V ;;CTK;2011.10.03;..;
TELMISARTAN-RATIOPHARM 40 mg tabletta;telmisartan;C09CA07;Ratiopharm GmbH;OGYI-T-21451;14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2010.09.24;..;
TELMISARTAN-RATIOPHARM 80 mg tabletta;telmisartan;C09CA07;Ratiopharm GmbH;OGYI-T-21451;14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2010.09.24;..;
TELMISARTAN/AMLODIPINE NOVUMGEN  80 mg/5 mg tabletta;telmisartan, amlodipine besilate;C09DB04;Novumgen Limited;OGYI-T-24313;28 X   - buborékcsomagolásban;V ;;TK;2023.11.29;..;
TELMISARTAN/AMLODIPINE NOVUMGEN 40 mg/10 mg tabletta;telmisartan, amlodipine besilate;C09DB04;Novumgen Limited;OGYI-T-24313;28 X   - buborékcsomagolásban;V ;;TK;2023.11.29;..;
TELMISARTAN/AMLODIPINE NOVUMGEN 40 mg/5 mg tabletta;telmisartan, amlodipine besilate;C09DB04;Novumgen Limited;OGYI-T-24313;28 X   - buborékcsomagolásban;V ;;TK;2023.11.29;..;
TELMISARTAN/AMLODIPINE NOVUMGEN 80 mg/10 mg tabletta;telmisartan, amlodipine besilate;C09DB04;Novumgen Limited;OGYI-T-24313;28 X   - buborékcsomagolásban;V ;;TK;2023.11.29;..;
TELMISARTAN/AMLODIPINE PHARMSOL 40 mg/10 mg tabletta;telmisartan, amlodipine besilate;C09DB04;Novumgen Limited;OGYI-T-24313;; ;;ATT;2023.11.29;2024.07.18;
TELMISARTAN/AMLODIPINE PHARMSOL 40 mg/5 mg tabletta;telmisartan, amlodipine besilate;C09DB04;Novumgen Limited;OGYI-T-24313;; ;;ATT;2023.11.29;2024.07.18;
TELMISARTAN/AMLODIPINE PHARMSOL 80 mg/10 mg tabletta;telmisartan, amlodipine besilate;C09DB04;Novumgen Limited;OGYI-T-24313;; ;;ATT;2023.11.29;2024.07.18;
TELMISARTAN/AMLODIPINE PHARMSOL 80mg/5 mg tabletta;telmisartan, amlodipine besilate;C09DB04;Novumgen Limited;OGYI-T-24313;; ;;ATT;2023.11.29;2024.07.18;
TELMISARTAN/HCT-TEVA 40 mg/12,5 mg tabletta;telmisartan, hydrochlorothiazide;C09DA07;Teva Gyógyszergyár Zrt.;OGYI-T-22635;28 X   - buborékcsomagolásban;V ;;TK;2014.03.04;..;
TELMISARTAN/HCT-TEVA 80 mg/12,5 mg tabletta;telmisartan, hydrochlorothiazide;C09DA07;Teva Gyógyszergyár Zrt.;OGYI-T-22635;28 X   - buborékcsomagolásban;V ;;TK;2014.03.04;..;
TELMISARTAN/HCT-TEVA 80 mg/25 mg tabletta;telmisartan, hydrochlorothiazide;C09DA07;Teva Gyógyszergyár Zrt.;OGYI-T-22635;28 X   - buborékcsomagolásban;V ;;TK;2014.03.04;..;
TELMISARTAN/HYDROCHLOROTHIAZIDE PHARMA-REGIST 40 mg/12,5 mg tabletta;telmisartan, hydrochlorothiazide;C09DA07;TAD Pharma GmbH;OGYI-T-22485;28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2013.05.15;..;
TELMISARTAN/HYDROCHLOROTHIAZIDE PHARMA-REGIST 80 mg/12,5 mg tabletta;telmisartan, hydrochlorothiazide;C09DA07;TAD Pharma GmbH;OGYI-T-22485;28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2013.05.15;..;
TELMISARTAN/HYDROCHLOROTHIAZIDE PHARMA-REGIST 80 mg/25 mg tabletta;telmisartan, hydrochlorothiazide;C09DA07;TAD Pharma GmbH;OGYI-T-22485;28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2013.05.15;..;
TELMISARTAN/INDAPAMID KRKA 40 mg/1,5 mg módosított hatóanyag-leadású tabletta;telmisartan, indapamide;C09DA07;Krka d.d.,;OGYI-T-24508;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2025.01.10;..;
TELMISARTAN/INDAPAMID KRKA 80 mg/1,5 mg módosított hatóanyag-leadású tabletta;telmisartan, indapamide;C09DA07;Krka d.d.,;OGYI-T-24508;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;TK;2025.01.10;..;
TELVIRAN  50 mg/g krém;aciclovir;D06BB03;Egis Gyógyszergyár Zrt.;OGYI-T-05695;1 X 10 g Al tubusban, 1 X 2 g Al tubusban;VN  ;;TK;1997.01.01;..;
TELVIRAN 200 mg tabletta;aciclovir;J05AB01;Egis Gyógyszergyár Zrt.;OGYI-T-05695;25 X   - buborékcsomagolásban;V  ;;TK;1997.01.01;..;
TELVIRAN 400 mg tabletta;aciclovir;J05AB01;Egis Gyógyszergyár Zrt.;OGYI-T-05695;35 X   - buborékcsomagolásban;V  ;;TK;1997.01.01;..;
TELVIRAN 800 mg tabletta;aciclovir;J05AB01;Egis Gyógyszergyár Zrt.;OGYI-T-05695;35 X   - buborékcsomagolásban;V  ;;TK;1999.01.01;..;
Telzir 50 mg/ml belsõleges szuszpenzió;fosamprenavir;J05AE07;ViiV Healthcare B.V. ;EU/1/04/282;1 X 225 ml palackban;Sz ;;CTK;2004.07.12;..;
Telzir 700 mg filmtabletta;fosamprenavir;J05AE07;ViiV Healthcare B.V. ;EU/1/04/282;60 X   - -;Sz ;;CTK;2004.07.12;..;
Temodal   2,5 mg/ml por oldatos infúzióhoz;temozolomide;L01AX03;Merck Sharp & Dohme BV;EU/1/98/096;1 X   - ;I ;;CTK;1999.01.26;..;
Temodal   5 mg kemény kapszula;temozolomide;L01AX03;Merck Sharp & Dohme BV;EU/1/98/096;20 X   - üvegben, 20 X  - tasakban, 5 X   - üvegben, 5 X  - tasakban;Sz ;;CTK;1999.01.26;..;
Temodal  20 mg kemény kapszula;temozolomide;L01AX03;Merck Sharp & Dohme BV;EU/1/98/096;20 X   - üvegben, 20 X 1 - tasakban, 5 X   - üvegben, 5 X 1 - tasakban;Sz ;;CTK;1999.01.26;..;
Temodal 100 mg kemény kapszula;temozolomide;L01AX03;Merck Sharp & Dohme BV;EU/1/98/096;20 X   - üvegben, 20 X 1 - tasakban, 5 X   - üvegben, 5 X 1 - tasakban;Sz ;;CTK;1999.01.26;..;
Temodal 140 mg kemény kapszula;temozolomide;L01AX03;Merck Sharp & Dohme BV;EU/1/98/096;20 X   - üvegben, 20 X 1 - tasakban, 5 X   - üvegben, 5 X 1 - tasakban;Sz ;;CTK;1999.01.26;..;
Temodal 180 mg kemény kapszula;temozolomide;L01AX03;Merck Sharp & Dohme BV;EU/1/98/096;20 X   - üvegben, 20 X 1 - tasakban, 5 X   - üvegben, 5 X 1 - tasakban;Sz ;;CTK;1999.01.26;..;
Temodal 250 mg kemény kapszula;temozolomide;L01AX03;Merck Sharp & Dohme BV;EU/1/98/096;20 X   - üvegben, 20 X 1 - tasakban, 5 X   - üvegben, 5 X 1 - tasakban;Sz ;;CTK;1999.01.26;..;
Temomedac   5 mg kemény kapszula;temozolomide;L01AX03;Medac GmbH;EU/1/09/605;20 X   - tartályban, 5 X   - tartályban;Sz ;;CTK;2010.01.25;..;
Temomedac  20 mg kemény kapszula;temozolomide;L01AX03;Medac GmbH;EU/1/09/605;20 X   - tartályban, 5 X   - tartályban;Sz ;;CTK;2010.01.25;..;
Temomedac 100 mg kemény kapszula;temozolomide;L01AX03;Medac GmbH;EU/1/09/605;20 X   - tartályban, 5 X   - tartályban;Sz ;;CTK;2010.01.25;..;
Temomedac 140 mg kemény kapszula;temozolomide;L01AX03;Medac GmbH;EU/1/09/605;20 X   - tartályban, 5 X   - tartályban;Sz ;;CTK;2010.01.25;..;
Temomedac 180 mg kemény kapszula;temozolomide;L01AX03;Medac GmbH;EU/1/09/605;20 X   - tartályban, 5 X   - tartályban;Sz ;;CTK;2010.01.25;..;
Temomedac 250 mg kemény kapszula;temozolomide;L01AX03;Medac GmbH;EU/1/09/605;20 X   - tartályban, 5 X   - tartályban;Sz ;;CTK;2010.01.25;..;
TEMOSTAD 100 mg kemény kapszula;temozolomide;L01AX03;Stada Arzneimittel AG;OGYI-T-21543;20 X   - üvegben, 5 X   - üvegben;Sz ;;TT;2010.11.23;2021.03.31;
TEMOSTAD 140 mg kemény kapszula;temozolomide;L01AX03;Stada Arzneimittel AG;OGYI-T-21543;20 X   - üvegben, 5 X   - üvegben;Sz ;;TT;2010.11.23;2021.03.31;
TEMOSTAD 250 mg kemény kapszula;temozolomide;L01AX03;Stada Arzneimittel AG;OGYI-T-21543;20 X   - üvegben, 5 X   - üvegben;Sz ;;TT;2010.11.23;2021.03.31;
Temozolomide Accord   5 mg kemény kapszula;temozolomide;L01AX03;Accord Healthcare S.L.U.;EU/1/10/615;20 X   - tasakban, 20 X   - üveg tartályban, 5 X   - tasakban, 5 X   - üveg tartályban;Sz ;;CTK;2010.03.15;..;
Temozolomide Accord  20 mg kemény kapszula;temozolomide;L01AX03;Accord Healthcare S.L.U.;EU/1/10/615;20 X   - tasakban, 20 X   - üveg tartályban, 5 X   - tasakban, 5 X   - üveg tartályban;Sz ;;CTK;2010.03.15;..;
Temozolomide Accord 100 mg kemény kapszula;temozolomide;L01AX03;Accord Healthcare S.L.U.;EU/1/10/615;20 X   - tasakban, 20 X   - üveg tartályban, 5 X   - tasakban, 5 X   - üveg tartályban;Sz ;;CTK;2010.03.15;..;
Temozolomide Accord 140 mg kemény kapszula;temozolomide;L01AX03;Accord Healthcare S.L.U.;EU/1/10/615;20 X   - tasakban, 20 X   - üveg tartályban, 5 X   - tasakban, 5 X   - üveg tartályban;Sz ;;CTK;2010.03.15;..;
Temozolomide Accord 180 mg kemény kapszula;temozolomide;L01AX03;Accord Healthcare S.L.U.;EU/1/10/615;20 X   - tasakban, 20 X   - üveg tartályban, 5 X   - tasakban, 5 X   - üveg tartályban;Sz ;;CTK;2010.03.15;..;
Temozolomide Accord 250 mg kemény kapszula;temozolomide;L01AX03;Accord Healthcare S.L.U.;EU/1/10/615;20 X   - tasakban, 20 X   - üveg tartályban, 5 X   - tasakban, 5 X   - üveg tartályban;Sz ;;CTK;2010.03.15;..;
Temozolomide Hexal   5 mg kemény kapszula;temozolomide;L01AX03;HEXAL AG;EU/1/10/616;20 X   - tartályban, 20 X   - tartályban, 20 X 1 - tasakban, 5 X   - tartályban, 5 X 1 - tasakban;Sz ;;CTT;2010.03.15;2022.09.15;
Temozolomide Hexal  20 mg kemény kapszula;temozolomide;L01AX03;HEXAL AG;EU/1/10/616;20 X   - tartályban, 20 X   - tartályban, 20 X 1 - tasakban, 5 X   - tartályban, 5 X 1 - tasakban;Sz ;;CTT;2010.03.15;2022.09.15;
Temozolomide Hexal 100 mg kemény kapszula;temozolomide;L01AX03;HEXAL AG;EU/1/10/616;20 X   - tartályban, 20 X   - tartályban, 20 X 1 - tasakban, 5 X   - tartályban, 5 X 1 - tasakban;Sz ;;CTT;2010.03.15;2022.09.15;
Temozolomide Hexal 140 mg kemény kapszula;temozolomide;L01AX03;HEXAL AG;EU/1/10/616;20 X   - tartályban, 20 X   - tartályban, 20 X 1 - tasakban, 5 X   - tartályban, 5 X 1 - tasakban;Sz ;;CTT;2010.03.15;2022.09.15;
Temozolomide Hexal 180 mg kemény kapszula;temozolomide;L01AX03;HEXAL AG;EU/1/10/616;20 X   - tartályban, 20 X   - tartályban, 20 X 1 - tasakban, 5 X   - tartályban, 5 X 1 - tasakban;Sz ;;CTT;2010.03.15;2022.09.15;
Temozolomide Hexal 250 mg kemény kapszula;temozolomide;L01AX03;HEXAL AG;EU/1/10/616;20 X   - tartályban, 20 X   - tartályban, 20 X 1 - tasakban, 5 X   - tartályban, 5 X 1 - tasakban;Sz ;;CTT;2010.03.15;2022.09.15;
TEMOZOLOMIDE PHARMACENTER  20 mg kemény kapszula;temozolomide;L01AX03;Pharmacenter Europe Kft.;OGYI-T-24100;5 X   - buborékcsomagolásban, 5 X   - HDPE tartályban;Sz ;;TK;2022.08.01;..;
TEMOZOLOMIDE PHARMACENTER 100 mg kemény kapszula;temozolomide;L01AX03;Pharmacenter Europe Kft.;OGYI-T-24100;5 X   - buborékcsomagolásban, 5 X   - HDPE tartályban;Sz ;;TK;2022.08.01;..;
TEMOZOLOMIDE PHARMACENTER 140 mg kemény kapszula;temozolomide;L01AX03;Pharmacenter Europe Kft.;OGYI-T-24100;5 X   - buborékcsomagolásban, 5 X   - HDPE tartályban;Sz ;;TK;2022.08.01;..;
TEMOZOLOMIDE PHARMACENTER 180 mg kemény kapszula;temozolomide;L01AX03;Pharmacenter Europe Kft.;OGYI-T-24100;5 X   - buborékcsomagolásban, 5 X   - HDPE tartályban;Sz ;;TK;2022.08.01;..;
TEMOZOLOMIDE PHARMACENTER 250 mg kemény kapszula;temozolomide;L01AX03;Pharmacenter Europe Kft.;OGYI-T-24100;5 X   - buborékcsomagolásban, 5 X   - HDPE tartályban;Sz ;;TK;2022.08.01;..;
